name,code,pop
Senegal,SEN,15411.614
Singapore,SGP,5607.283
Solomon Islands,SLB,599.419
Sierra Leone,SLE,7396.19
El Salvador,SLV,6344.722
San Marino,SMR,33.203
Somalia,SOM,14317.996
Serbia,SRB,7057.412
Sub-Saharan Africa (excluding high income),SSA,1033011.458
South Sudan,SSD,12230.73
Sub-Saharan Africa,SSF,1033106.135
Small states,SST,39618.156
Sao Tome and Principe,STP,199.91
Suriname,SUR,558.368
Slovak Republic,SVK,5428.704
Slovenia,SVN,2064.845
Sweden,SWE,9903.122
Swaziland,SWZ,1343.098
Sint Maarten (Dutch part),SXM,40.005
Seychelles,SYC,94.677
Syrian Arab Republic,SYR,18430.453
Turks and Caicos Islands,TCA,34.9
Chad,TCD,14452.543
East Asia & Pacific (IDA & IBRD countries),TEA,2026028.438
Europe & Central Asia (IDA & IBRD countries),TEC,455372.659
Togo,TGO,7606.374
Thailand,THA,68863.514
Tajikistan,TJK,8734.951
Turkmenistan,TKM,5662.544
Latin America & the Caribbean (IDA & IBRD countries),TLA,621534.921
Timor-Leste,TLS,1268.671
Middle East & North Africa (IDA & IBRD countries),TMN,369167.489
Tonga,TON,107.122
South Asia (IDA & IBRD),TSA,1766383.45
Sub-Saharan Africa (IDA & IBRD countries),TSS,1033106.135
Trinidad and Tobago,TTO,1364.962
Tunisia,TUN,11403.248
Turkey,TUR,79512.426
Tuvalu,TUV,11.097
Tanzania,TZA,55572.201
Uganda,UGA,41487.965
Ukraine,UKR,45004.645
Upper middle income,UMC,2579909.675
Uruguay,URY,3444.006
United States,USA,323127.513
Uzbekistan,UZB,31848.2
St. Vincent and the Grenadines,VCT,109.643
"Venezuela, RB",VEN,31568.179
British Virgin Islands,VGB,30.661
Virgin Islands (U.S.),VIR,102.951
Vietnam,VNM,92701.1
Vanuatu,VUT,270.402
World,WLD,7442135.578
Samoa,WSM,195.125
Kosovo,XKX,1816.2
"Yemen, Rep.",YEM,27584.213
South Africa,ZAF,55908.865
Zambia,ZMB,16591.39
Zimbabwe,ZWE,16150.362
