src,dst,resource,value,weight
AFG,GBR,Metals and minerals,7.12320549,17.164293
AFG,GBR,Pearls and gemstones,NA,NA
AFG,TZA,Agricultural products,1.826,2.498
AFG,USA,Agricultural products,2019.65648527,503.32872982
AFG,USA,Pearls and gemstones,NA,NA
AFG,URY,Agricultural products,NA,NA
AFG,URY,Metals and minerals,NA,NA
AFG,UZB,Agricultural products,55.944,39.465
ALB,DZA,Agricultural products,1.288,0.2
ALB,AZE,Agricultural products,0.055,0.029
ALB,ARG,Agricultural products,9.22,1.669
ALB,ARG,Metals and minerals,51.861,40.66
ALB,AUS,Agricultural products,182.368,51.89
ALB,AUS,Metals and minerals,421.705,349.33
ALB,AUT,Agricultural products,957.4,590.462
ALB,AUT,Fossil fuels,7.8,0.155
ALB,AUT,Metals and minerals,714.828,703.34
ALB,BHR,Agricultural products,12.991,3.664
ALB,BHR,Metals and minerals,6.729,26
ALB,BRB,Agricultural products,9.514,1.39
ALB,BEL,Fossil fuels,6402.772,33662.669
ALB,BEL,Metals and minerals,1172.005984,1355.106394
ALB,BOL,Metals and minerals,46.239,10.728
ALB,BIH,Agricultural products,6142.83582627,15048.64345278
ALB,BIH,Fossil fuels,123.615176,107.81
ALB,BIH,Metals and minerals,198.903,3018.55
ALB,BRA,Agricultural products,72.27,20.504
ALB,BRA,Metals and minerals,281.12,242.046
ALB,BGR,Agricultural products,5466.30944625,16170.07227903
ALB,BGR,Fossil fuels,1248.412,6856.463
ALB,BGR,Metals and minerals,3401.52320905,1450.32877263
ALB,BLR,Agricultural products,34.7,15.231
ALB,CMR,Fossil fuels,278.847,193.43
ALB,CAN,Agricultural products,457.864834,97.2170618
ALB,CAN,Forestry products,62.874,86.382
ALB,CAN,Fossil fuels,0.01,0.025
ALB,CAN,Metals and minerals,368.781,303.187
ALB,CYM,Metals and minerals,4940.371,33447.79
ALB,LKA,Agricultural products,74.9587022,9.5333889
ALB,LKA,Fossil fuels,6.912,14.449
ALB,CHL,Metals and minerals,402.797,305.619
ALB,CHN,Agricultural products,238.938483,107.672649
ALB,CHN,Fossil fuels,8284.864552,36388.318647
ALB,CHN,Metals and minerals,88808.5115,451912.745
ALB,COL,Forestry products,24.003,19
ALB,COG,Fossil fuels,22.087,74.635
ALB,HRV,Agricultural products,2236.37476281,2420.05591435
ALB,HRV,Metals and minerals,1420.73825,552.274
ALB,CYP,Forestry products,7.972,10.74
ALB,CYP,Metals and minerals,8.669,23.32
ALB,CZE,Agricultural products,1162.7663883,1265.6263836
ALB,CZE,Metals and minerals,204.907,282.305
ALB,BEN,Metals and minerals,34.467,22.105
ALB,DNK,Agricultural products,391.1361609,244.22930091
ALB,DOM,Agricultural products,28.493,3.159
ALB,DOM,Metals and minerals,302.622,646.375
ALB,ECU,Metals and minerals,0.275,0.169
ALB,EST,Agricultural products,982.8717723,308.688375
ALB,FIN,Agricultural products,2.155,0.033
ALB,FIN,Metals and minerals,2.552,0.081
ALB,FRA,Agricultural products,4280.87862,1688.723507
ALB,FRA,Fertilizers,31.066,136.64
ALB,FRA,Forestry products,28.446,73.897
ALB,FRA,Fossil fuels,265.1416498,381.000462
ALB,FRA,Metals and minerals,2079.18799777,5959.7731378
ALB,GEO,Fossil fuels,31.117,25.092
ALB,PSE,Metals and minerals,4.89,6.378
ALB,DEU,Agricultural products,11002.436129,4441.07427319
ALB,DEU,Fossil fuels,927.051,4720.033
ALB,DEU,Metals and minerals,5756.2780717,5175.663107
ALB,GHA,Agricultural products,0.102,0.144
ALB,GHA,Metals and minerals,0.357,0.504
ALB,GRC,Agricultural products,16844.04641393,13614.99199941
ALB,GRC,Fertilizers,9.886,88.82
ALB,GRC,Forestry products,2264.472,10455.042
ALB,GRC,Fossil fuels,2141.47413,2734.19249
ALB,GRC,Metals and minerals,13048.9001975,72111.1219909
ALB,HKG,Agricultural products,11.8604449,2.85996733
ALB,HKG,Metals and minerals,6448.432,32666.345
ALB,HUN,Agricultural products,1060.309864,1011.004649
ALB,HUN,Metals and minerals,1.054,0.932
ALB,ISL,Agricultural products,3.46,0.614
ALB,IDN,Agricultural products,4.558,0.851
ALB,IRQ,Agricultural products,1617.682,3362.43
ALB,IRL,Agricultural products,129.303,85.666
ALB,IRL,Metals and minerals,2.405,23.5
ALB,ISR,Fossil fuels,1,0.693
ALB,ISR,Metals and minerals,NA,NA
ALB,ITA,Agricultural products,47539.6228836,16150.83158415
ALB,ITA,Fertilizers,13.777,27.666
ALB,ITA,Forestry products,4509.436,32098.363
ALB,ITA,Fossil fuels,51839.8276697,266995.7107487
ALB,ITA,Metals and minerals,57877.7032567,120659.82833411
ALB,CIV,Fossil fuels,347.638,230.976
ALB,JPN,Agricultural products,297.955,49.133
ALB,JPN,Metals and minerals,3388.378,2177.259
ALB,JOR,Metals and minerals,159.192,123.37
ALB,KOR,Agricultural products,2256.852,585.88
ALB,KOR,Fossil fuels,0.023,0.004
ALB,KOR,Metals and minerals,666.731,5668.661
ALB,KWT,Agricultural products,18.229,26.511
ALB,LBN,Agricultural products,9.396,3.466
ALB,LBN,Fossil fuels,114.604657,75.5505888
ALB,LVA,Agricultural products,236.32286,185.6723453
ALB,LBY,Fossil fuels,2740.655,8320.705
ALB,LBY,Metals and minerals,1277.859,21870.5
ALB,LTU,Agricultural products,436.9484686,1090.284282
ALB,LTU,Fossil fuels,4.971,8
ALB,LUX,Agricultural products,1.043,0.029
ALB,LUX,Metals and minerals,25.785,44.28
ALB,MAC,Agricultural products,14.664,4.265
ALB,MYS,Agricultural products,2.339,0.106
ALB,MYS,Metals and minerals,175.057,106.112
ALB,MLI,Agricultural products,11.43,25
ALB,MLT,Agricultural products,759.106,47.214
ALB,MLT,Fossil fuels,63729.703,404364.379
ALB,MLT,Metals and minerals,1189.376702,44174.8932761
ALB,MUS,Agricultural products,0.732,0.055
ALB,MEX,Agricultural products,46.974,5.748
ALB,MEX,Metals and minerals,122.478,90.683
ALB,MNG,Agricultural products,1.112,0.569
ALB,MDA,Agricultural products,148.1438456,200.9
ALB,MNE,Agricultural products,6191.57851056,12147.2932211
ALB,MNE,Fertilizers,18.761,75
ALB,MNE,Forestry products,22.155,26.252
ALB,MNE,Fossil fuels,3284.56863968,10544.72444257
ALB,MNE,Metals and minerals,15879.84272192,139716.79940159
ALB,MAR,Agricultural products,113.286,32.16
ALB,OMN,Agricultural products,0.016,0.001
ALB,NLD,Agricultural products,764.601568,317.0407802
ALB,NLD,Fertilizers,0.007,0.008
ALB,NLD,Forestry products,0.002,0.004
ALB,NLD,Fossil fuels,0.372,1.27
ALB,NLD,Metals and minerals,40.8,21.889
ALB,NLD,Pearls and gemstones,NA,NA
ALB,NZL,Agricultural products,3.723,0.48
ALB,NZL,Metals and minerals,181.736,135.384
ALB,NER,Agricultural products,2.541,0.735
ALB,NOR,Agricultural products,72.48944342,77.79845805
ALB,NOR,Metals and minerals,45.849,27.78
ALB,MHL,Metals and minerals,2375.599,10938.36
ALB,PAK,Agricultural products,11.786,2.151
ALB,PAK,Forestry products,11.667,18.977
ALB,PAK,Metals and minerals,NA,NA
ALB,PER,Metals and minerals,95.62,65.121
ALB,PHL,Agricultural products,252.078,625.608
ALB,POL,Agricultural products,2193.95392552,1782.21767174
ALB,POL,Fossil fuels,64.218,54.005
ALB,POL,Metals and minerals,195.161,145.967
ALB,PRT,Fossil fuels,126.602514,67.5511562
ALB,QAT,Agricultural products,16.031,19.8
ALB,QAT,Forestry products,74.775,69.679
ALB,ROU,Agricultural products,6349.97013406,7692.685836
ALB,ROU,Fossil fuels,90.711,62.521
ALB,ROU,Metals and minerals,84.869,48.62
ALB,RUS,Agricultural products,38.666,18.062
ALB,SAU,Agricultural products,47.348,109.243
ALB,SAU,Fossil fuels,409.701,299.269
ALB,SEN,Agricultural products,387.103,471.04
ALB,SEN,Fossil fuels,99.694,131.532
ALB,SEN,Metals and minerals,4.682,2.292
ALB,SRB,Agricultural products,21974.77480535,47782.18163475
ALB,SRB,Fertilizers,31.4631265,38.0712453
ALB,SRB,Forestry products,344.776,2140.339
ALB,SRB,Fossil fuels,3722.317482,14070.088757
ALB,SRB,Metals and minerals,22710.0512794,299820.626051
ALB,SYC,Agricultural products,0.08,0.014
ALB,IND,Agricultural products,348.05,270.102
ALB,IND,Metals and minerals,8359.959,7252.776
ALB,SGP,Agricultural products,0.043,0.01
ALB,SVK,Agricultural products,312.966114,343.380759
ALB,SVK,Metals and minerals,5.376,23.084
ALB,SVN,Agricultural products,353.61,711.66
ALB,SVN,Fossil fuels,471.219,331.831
ALB,ZAF,Agricultural products,126.686,24.239
ALB,ZAF,Forestry products,15.015,25.443
ALB,ZAF,Metals and minerals,2993.87,1212.064
ALB,ESP,Agricultural products,4023.532873,736.0648061
ALB,ESP,Fossil fuels,41670.025587,232704.0624977
ALB,ESP,Metals and minerals,3044.916,2680.301
ALB,SWE,Agricultural products,221.37586475,283.975428
ALB,SWE,Metals and minerals,0.818,3
ALB,CHE,Agricultural products,660.347287,123.1790176
ALB,CHE,Forestry products,4.94,46.571
ALB,CHE,Fossil fuels,77.7344069,137.37988000000001
ALB,CHE,Metals and minerals,10919.029,42645.148
ALB,THA,Agricultural products,337.748,235.484
ALB,THA,Metals and minerals,54.018,48.028
ALB,TGO,Agricultural products,4.321,20.531
ALB,ARE,Agricultural products,6.57,0.502
ALB,ARE,Metals and minerals,5319.044,28089.441
ALB,TUN,Agricultural products,1.177,0.06
ALB,TUN,Metals and minerals,168.603,33.278
ALB,TUR,Agricultural products,4167.51358,1204.280712
ALB,TUR,Forestry products,184.157,207.431
ALB,TUR,Fossil fuels,85.0645821,279.958691
ALB,TUR,Metals and minerals,13173.51404,47048.10565
ALB,MKD,Agricultural products,4221.45314755,9690.72015316
ALB,MKD,Forestry products,273.467,1345.705
ALB,MKD,Fossil fuels,1173.9196571,3673.746266
ALB,MKD,Metals and minerals,34245.1555421,410715.7112359
ALB,EGY,Agricultural products,1147.03155,248.304893
ALB,EGY,Fossil fuels,3010.615,15871.516
ALB,GBR,Agricultural products,349.719719,71.8644952
ALB,GBR,Fossil fuels,24,12.978
ALB,GBR,Metals and minerals,1224.42611,966.580244
ALB,USA,Agricultural products,10690.3037763,2943.12700197
ALB,USA,Forestry products,17.685,8.319
ALB,USA,Fossil fuels,95886.311,336641.312
ALB,USA,Metals and minerals,2229.619,1245.562
ALB,BFA,Metals and minerals,NA,NA
ALB,URY,Agricultural products,51.198,21.608
ATA,BOL,Agricultural products,NA,NA
ATA,CAN,Agricultural products,278.707,98.941
ATA,CAN,Metals and minerals,NA,NA
ATA,CPV,Agricultural products,1.837,1.5
ATA,FRA,Agricultural products,0.001,0.06
ATA,KOR,Fossil fuels,120.464,168.95
ATA,LUX,Agricultural products,1.796,0.244
ATA,NZL,Agricultural products,968.022,36.4
ATA,NZL,Fossil fuels,NA,NA
ATA,NZL,Metals and minerals,NA,NA
ATA,POL,Agricultural products,NA,NA
ATA,POL,Metals and minerals,NA,NA
ATA,SVK,Forestry products,NA,NA
ATA,ZAF,Agricultural products,146.548,44.5
DZA,ALB,Agricultural products,7403.35872,15220.3773
DZA,AGO,Agricultural products,841.588,2378.972
DZA,AGO,Fossil fuels,5947.122,20624.271
DZA,ATG,Agricultural products,1.197,0.6
DZA,AZE,Agricultural products,327.08188,166.151554
DZA,ARG,Fossil fuels,46979.7688,168543.901
DZA,AUS,Agricultural products,34.39213111,18.65335608
DZA,AUS,Fossil fuels,187620.199,512816.236
DZA,AUS,Metals and minerals,2303.448,27500
DZA,AUT,Metals and minerals,0.001,0.01
DZA,BHS,Fossil fuels,44528.534,135353.814
DZA,BHR,Agricultural products,49.6528439,83.6451314
DZA,BGD,Agricultural products,796.363,1204.227
DZA,BRB,Fossil fuels,47.878,132.218
DZA,BEL,Agricultural products,2035.96245679,3232.53063555
DZA,BEL,Fertilizers,7319.92139,22801.8361
DZA,BEL,Forestry products,36.793,207.756
DZA,BEL,Fossil fuels,1040768.1608,2739328.0348
DZA,BEL,Metals and minerals,3377.08984,29644.4579
DZA,BOL,Agricultural products,1.955,5.8
DZA,BIH,Agricultural products,694.032,1426.859
DZA,BIH,Fossil fuels,24.635,43.516
DZA,BRA,Fertilizers,32891.0174,149011.835
DZA,BRA,Fossil fuels,1559184.56116,4200868.798
DZA,BRA,Metals and minerals,12164.79612,174422.309
DZA,BGR,Agricultural products,685.849615,1295.02674
DZA,KHM,Agricultural products,36.62,87.5
DZA,CMR,Agricultural products,257.895,400.257
DZA,CMR,Metals and minerals,5.365,56
DZA,CAN,Agricultural products,1705.26416565,1140.2477556
DZA,CAN,Fertilizers,23399.9404,81615.4059
DZA,CAN,Fossil fuels,1306055.214,3589728.44
DZA,CAN,Metals and minerals,31.01149068,15.87993624
DZA,CPV,Fossil fuels,618.327,1439.385
DZA,LKA,Agricultural products,13.9174941,7.29696146
DZA,TCD,Fossil fuels,0.266,0.588
DZA,TCD,Metals and minerals,15.4,162
DZA,CHN,Agricultural products,1842.98,1697.412
DZA,CHN,Forestry products,604.691,462.272
DZA,CHN,Fossil fuels,342327.4753,958385.407
DZA,CHN,Metals and minerals,41.0271093,326.238883
DZA,COG,Metals and minerals,15.4,162
DZA,HRV,Agricultural products,477.899,1e3
DZA,HRV,Metals and minerals,3830.25831,47524.8369
DZA,CUB,Fossil fuels,217862.374,520580.403
DZA,CYP,Agricultural products,874.7886858,1943.2347459
DZA,CYP,Fossil fuels,2395.695,7147.69
DZA,CZE,Agricultural products,204.626,56.582
DZA,CZE,Fertilizers,30.908,96
DZA,BEN,Agricultural products,1248.12,2830.43
DZA,BEN,Fossil fuels,25.944,14.531
DZA,BEN,Metals and minerals,60.998,107.552
DZA,DNK,Agricultural products,0.342,0.6
DZA,DNK,Fossil fuels,34100.191,85450.131
DZA,DNK,Metals and minerals,2.414,0.528
DZA,DOM,Fossil fuels,9565.096,33072.787
DZA,GNQ,Agricultural products,103.747,78.108
DZA,GNQ,Metals and minerals,0.619,0.075
DZA,ETH,Agricultural products,1.52,0.472
DZA,EST,Agricultural products,13.849,3.204
DZA,FIN,Agricultural products,0.463,0.15
DZA,FRA,Agricultural products,31203.49217709,32399.92897069
DZA,FRA,Fertilizers,102045.879,446565.644
DZA,FRA,Forestry products,387.83,1241.286
DZA,FRA,Fossil fuels,3166818.93,8581338.642
DZA,FRA,Metals and minerals,14066.92651968,186036.73314037
DZA,GAB,Agricultural products,4.706,2.664
DZA,GEO,Agricultural products,555.8512821,1308.1876533
DZA,GMB,Agricultural products,90.9962874,188.699957
DZA,DEU,Agricultural products,4712.6279316,1577.69973437
DZA,DEU,Fertilizers,26197.2191,128271.623
DZA,DEU,Fossil fuels,1192009.375,3258315.496
DZA,DEU,Metals and minerals,7960.17917994,6516.45518601
DZA,GHA,Agricultural products,2163.061597,3644.1527
DZA,GHA,Metals and minerals,73.2904207,358.968432
DZA,GRC,Agricultural products,3496.7882375,8824.82608
DZA,GRC,Forestry products,411.144,1566.76
DZA,GRC,Fossil fuels,150678.94504,528115.3648
DZA,GRC,Metals and minerals,6485.935,79794
DZA,GRL,Agricultural products,0.083,0.002
DZA,GTM,Agricultural products,174.721,194.288
DZA,GIN,Agricultural products,21.245,36
DZA,HKG,Agricultural products,1126.9704146,1299.6444994
DZA,HKG,Fossil fuels,5330.351,10876.501
DZA,ISL,Agricultural products,2.296,0.725
DZA,IDN,Agricultural products,97.0910442,94.9523188
DZA,IDN,Forestry products,492.236,2740.09
DZA,IDN,Fossil fuels,377770.8,1049327.92
DZA,IDN,Metals and minerals,0.001,0.02
DZA,IRQ,Agricultural products,69.439,87.37
DZA,IRL,Agricultural products,5.037,0.245
DZA,IRL,Fertilizers,7668.92018,32824.7676
DZA,IRL,Fossil fuels,24716.636,71554.805
DZA,IRL,Metals and minerals,0.903,0.06
DZA,ITA,Agricultural products,37257.38484503,57369.35497854
DZA,ITA,Fertilizers,3509.44486,14910.6362
DZA,ITA,Forestry products,132.787,163.522
DZA,ITA,Fossil fuels,4852450.6158,17105812.09
DZA,ITA,Metals and minerals,5998.02688,53802.8806
DZA,CIV,Agricultural products,367.614,485.062
DZA,CIV,Fossil fuels,6536.514,22106.798
DZA,CIV,Metals and minerals,5.389,29
DZA,JPN,Agricultural products,5954.651,256.237
DZA,JPN,Fossil fuels,326860.3939,874355.477
DZA,JPN,Metals and minerals,0.216,0.2
DZA,KAZ,Agricultural products,2.235,6.985
DZA,JOR,Agricultural products,15961.9195644,29173.49098524
DZA,JOR,Fossil fuels,90067.191,247397.35
DZA,JOR,Metals and minerals,0.334,0.05
DZA,KEN,Agricultural products,1201.573,2e3
DZA,KEN,Fossil fuels,2191.742,8281.415
DZA,KOR,Agricultural products,295.2523217,283.53155918
DZA,KOR,Forestry products,9.587,6.33
DZA,KOR,Fossil fuels,264553.4128,737536.94
DZA,KOR,Metals and minerals,0.013,0.001
DZA,KWT,Agricultural products,212.25294472,58.22185295
DZA,KWT,Forestry products,30.695,14.215
DZA,LBN,Agricultural products,12698.93263821,26468.09184737
DZA,LBN,Fossil fuels,20117.5595,42899.7186
DZA,LBY,Agricultural products,26975.829,40829.227
DZA,LUX,Agricultural products,20.078,4.958
DZA,MDG,Agricultural products,3.892,2.349
DZA,MDG,Metals and minerals,4.721,28
DZA,MYS,Agricultural products,273.796602,165.570215
DZA,MYS,Fossil fuels,101097.73,247433.773
DZA,MDV,Agricultural products,0.839,0.6
DZA,MLI,Agricultural products,886.392,2243.285
DZA,MLI,Fossil fuels,0.05,0.137
DZA,MLI,Metals and minerals,0.27620799,0.5
DZA,MLT,Agricultural products,2159.54065,337.764796
DZA,MLT,Fossil fuels,62124.0046,96045.6665
DZA,MLT,Metals and minerals,2.934,27
DZA,MRT,Agricultural products,36543.0044811,74599.9378908
DZA,MRT,Metals and minerals,18.627,57.88
DZA,MUS,Agricultural products,47.9941625,21.6031225
DZA,MEX,Fertilizers,19806.1,89626.5721
DZA,MEX,Forestry products,8.594,8
DZA,MEX,Fossil fuels,15548.2342,39778.5693
DZA,MEX,Metals and minerals,11277.4948,170228.235
DZA,MNG,Agricultural products,2.407,0.428
DZA,MDA,Agricultural products,0.602,0.2
DZA,MAR,Agricultural products,2654.40402707,1149.140549
DZA,MAR,Fossil fuels,573671.5971,2100277.575
DZA,MAR,Metals and minerals,0.348,0.086
DZA,OMN,Agricultural products,2.63655694,1.86453403
DZA,NLD,Agricultural products,4450.6226018,893.65287433
DZA,NLD,Fertilizers,0.006,0.013
DZA,NLD,Forestry products,0.002,0.006
DZA,NLD,Fossil fuels,1077302.6522,2885730.4071
DZA,NLD,Metals and minerals,4.247,55.796
DZA,NZL,Agricultural products,74.2669375,56.7466111
DZA,NZL,Metals and minerals,82.845,882.36
DZA,NER,Agricultural products,4356.68525858,10584.45682392
DZA,NER,Fertilizers,283.084,38.58
DZA,NER,Fossil fuels,107.905,178.782
DZA,NER,Metals and minerals,280.592,1557.5
DZA,NGA,Agricultural products,58.7815,65
DZA,NGA,Fossil fuels,2390.706,8699.668
DZA,NGA,Metals and minerals,3.83440223,21.0489539
DZA,NOR,Agricultural products,27.2152742,7.25598318
DZA,NOR,Fossil fuels,0.208,0.015
DZA,PAK,Agricultural products,6.344,5.58
DZA,PAK,Forestry products,25.041,149.98
DZA,PAK,Fossil fuels,26.539,185
DZA,PAN,Fossil fuels,27.855,61.982
DZA,PHL,Fossil fuels,1708.713,3663.711
DZA,PHL,Metals and minerals,0.101,0.04
DZA,POL,Agricultural products,42.552,9.803
DZA,POL,Fertilizers,1085.96105,5366.95634
DZA,POL,Metals and minerals,21012.10853,299124.136
DZA,PRT,Agricultural products,2444.168,977.113
DZA,PRT,Fertilizers,2938.17446,13992.6474
DZA,PRT,Forestry products,360.799,426.49
DZA,PRT,Fossil fuels,800712.21509,1400834.9424
DZA,PRT,Metals and minerals,324.523857,4007.21092
DZA,QAT,Agricultural products,2220.04106742,1862.06416687
DZA,ROU,Fertilizers,3197.006,11417.879
DZA,ROU,Metals and minerals,0.393,0.05
DZA,RUS,Agricultural products,6463.870882,5238.60249
DZA,RUS,Fossil fuels,30.724,59.347
DZA,RUS,Metals and minerals,0.193,0.013
DZA,SAU,Agricultural products,5963.980959,11571.6536543
DZA,SAU,Forestry products,73.6,248
DZA,SAU,Fossil fuels,6.405,12.136
DZA,SEN,Agricultural products,18876.0024034,30376.300313
DZA,SEN,Fossil fuels,4680.97352,13359.1903
DZA,SRB,Agricultural products,8.624,1.371
DZA,SRB,Metals and minerals,0.11378967,0.23839749
DZA,SYC,Agricultural products,4.666,4.534
DZA,SLE,Agricultural products,210.934481,500.726338
DZA,IND,Agricultural products,1813.58179,1764.97967
DZA,IND,Fertilizers,9308.01884,44990.5585
DZA,IND,Forestry products,4551.867,22091.68
DZA,IND,Fossil fuels,515528.8862,1430410.90763
DZA,IND,Metals and minerals,10965.6366,113322.4369
DZA,SGP,Fossil fuels,148953.991,267128.088
DZA,SVK,Agricultural products,1649.609,557.743
DZA,SVK,Metals and minerals,13.907,1.144
DZA,VNM,Agricultural products,70.254,264.176
DZA,VNM,Metals and minerals,0.228,0.088
DZA,ZAF,Agricultural products,4.00427971,5.41868103
DZA,ZAF,Metals and minerals,8.081,34.75
DZA,ESP,Agricultural products,20296.55863135,23593.31829269
DZA,ESP,Fertilizers,56010.6049,241483.651
DZA,ESP,Forestry products,1161.143,7754.095
DZA,ESP,Fossil fuels,4731520.86141,17196573.6909
DZA,ESP,Metals and minerals,6704.62396601,88006.16687059
DZA,ESP,Pearls and gemstones,NA,NA
DZA,SSD,Agricultural products,19864.719,36000.01
